H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Adk	8671.05	9688.08	7967.9	9321.6	7314.57	0.16	0.1	-0.06
Adm	17798.46	13338.03	13406.29	17005.14	14896.14	-0.42	-0.07	0.35
Adnp	4245.82	6146.3	7865.31	5740.31	4803.02	0.53	0.44	-0.1
Adnp2	5496.52	7549.64	7407.72	5120.76	4599.87	0.46	-0.1	-0.56
Ado	9579.73	28239.14	33953.81	11392.05	15158.21	1.56	0.25	-1.31
Adora2b	5341.39	5831.38	6193.42	8177.63	5070.01	0.13	0.61	0.49
Adpgk	15036.78	14140.52	12029.06	14391.4	9822.17	-0.09	-0.06	0.03
Adprh	8426.49	9651.07	12979.18	8845.88	11438.85	0.2	0.07	-0.13
Adprhl2	12932.07	13739.68	13447.47	15249.1	8060.26	0.09	0.24	0.15
Adprm	3113.44	4432.16	5077.15	4194.06	2861.56	0.51	0.43	-0.08
Adra1d	6448.23	7593.26	6162.68	9514.67	3134.45	0.24	0.56	0.33
Adra2a	299.71	942.14	890.11	604.67	130.35	1.65	1.01	-0.64
Adrb2	5632.07	6670.14	8588.98	6937.18	7015.25	0.24	0.3	0.06
Adrm1	34575.62	55201.84	78965.19	34895.07	48983.32	0.67	0.01	-0.66
Adsl	14968.03	14694.76	14539.39	14446.57	12587.95	-0.03	-0.05	-0.02
Adss	9662.71	12684.56	13516.03	8659.41	6886.37	0.39	-0.16	-0.55
Aebp1	9584.89	8421.96	8658.51	15540.26	6532.73	-0.19	0.7	0.88
Aen	9843.43	21213.39	28868.23	13416.73	11552.46	1.11	0.45	-0.66
Aes	12049.72	21997.21	29690.27	16693.95	13066.33	0.87	0.47	-0.4
Afap1	58828.55	56717.19	65266.27	67826.09	60068.49	-0.05	0.21	0.26
Afap1l2	10817.78	7596.1	8313.72	8657.18	4911.24	-0.51	-0.32	0.19
Aff1	58397.16	66577.1	73576.92	62130.82	61855.3	0.19	0.09	-0.1
Aff3	12219.01	6233.57	6930.49	5242.82	3185.22	-0.97	-1.22	-0.25
Aff4	26430.23	24753.64	24835.34	19177.5	20920.5	-0.09	-0.46	-0.37
Afg3l1	9033.23	9761.35	10081.74	10940.21	8194.12	0.11	0.28	0.16
Afg3l2	11784.83	22716.7	25173.93	16356.51	15683.35	0.95	0.47	-0.47
Afmid	13894.87	17371.58	17771.7	18569.66	11515.31	0.32	0.42	0.1
Aftph	7235.43	12711.12	16253.36	7804.29	9244.17	0.81	0.11	-0.7
Aga	2326.8	1854.71	1645.02	2112.81	2788.29	-0.33	-0.14	0.19
Agbl5	16582.37	17754.63	19455.02	19587.99	18282.1	0.1	0.24	0.14
Agfg1	13695.31	16302.21	17558.82	17271.9	17048.54	0.25	0.33	0.08
