H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Amacr	4167.54	4811.89	5963.17	3349.32	3120.85	0.21	-0.32	-0.52
Ambra1	9709.51	7425.61	9355.97	7350.76	6324.34	-0.39	-0.4	-0.01
Amd1	8858.51	19941.43	22603.68	9609.21	9331.5	1.17	0.12	-1.05
Amdhd2	4738.26	9567.38	11927.55	6948.85	8081.47	1.01	0.55	-0.46
Amer1	9316.35	7869.53	9831.24	9030.59	12681.62	-0.24	-0.04	0.2
Amigo1	5156.74	7153.91	8234.4	6081.46	4867.19	0.47	0.24	-0.23
Amigo2	2458.88	2061.13	1917.41	2599.28	1117.88	-0.25	0.08	0.33
Ammecr1l	11320.77	14789.47	17469.82	10320.23	8285.9	0.39	-0.13	-0.52
Amn1	7788.3	7708.4	8636.23	6860.06	7083.8	-0.01	-0.18	-0.17
Amotl2	120153.59	84076.75	90345.42	100059.91	58648.57	-0.52	-0.26	0.25
Ampd2	14125	16413.92	18466.27	13179.3	11226.98	0.22	-0.1	-0.32
Amph	4487.65	2263.89	2440.12	3972.92	2574.43	-0.99	-0.18	0.81
Amz2	5996.42	9192.2	11541	6953.18	7783.75	0.62	0.21	-0.4
Anapc1	7163.44	6160.76	7342.69	5618.77	6509.21	-0.22	-0.35	-0.13
Anapc10	4567.75	8109.98	10423.23	4516.31	4166.85	0.83	-0.02	-0.84
Anapc11	23539.24	38678.7	41425.48	35027.11	28902.45	0.72	0.57	-0.14
Anapc13	39393.79	29189.09	32590.2	30984.84	19311.62	-0.43	-0.35	0.09
Anapc15	25438.36	17589.17	18118.52	21388.12	21106.93	-0.53	-0.25	0.28
Anapc2	9331.17	11339.01	13174.03	14253.07	8583.76	0.28	0.61	0.33
Anapc4	2349.3	3018.87	3272.18	2310.19	2163.75	0.36	-0.02	-0.39
Anapc5	4983.06	6157.48	6689.68	5615.7	3813.48	0.31	0.17	-0.13
Anapc7	12844.11	12865.97	13076.82	13632.98	13660.83	0	0.09	0.08
Angel1	6331.91	15767.65	21398.88	8387.18	12331.98	1.32	0.41	-0.91
Angel2	5493.19	6595.28	7082.54	7451.76	6470.9	0.26	0.44	0.18
Angpt2	9798.14	3073.53	3157.09	8544.75	8042.69	-1.67	-0.2	1.48
Angptl1	1945.06	2304.75	1927.08	2371.81	2810.97	0.24	0.29	0.04
Angptl2	34213.83	25087.48	31996.73	32934.03	26571.04	-0.45	-0.06	0.39
Angptl4	10283.28	10174.62	11174.24	20231.59	25669.96	-0.02	0.98	0.99
Angptl6	2789.31	4003.41	4260.6	3440.17	3255.37	0.52	0.3	-0.22
Ank3	7741.33	8858.2	7856.65	9799.65	8754.29	0.19	0.34	0.15
Ankfy1	3183.21	4522.63	5142.7	2778.46	3312.35	0.51	-0.2	-0.7
Ankh	3491.17	9061.83	12215.08	5493.09	10160	1.38	0.65	-0.72
Ankhd1	27887.84	39951.1	39208.69	25980.74	24768.49	0.52	-0.1	-0.62
Ankib1	8086.29	9136.47	12327.17	7433.21	7466.1	0.18	-0.12	-0.3
Ankle2	6522.39	7980.03	10720.57	6023.81	5136.05	0.29	-0.11	-0.41
Ankmy2	15737.38	22327.13	26305.84	15462.79	20550.8	0.5	-0.03	-0.53
Ankra2	3875.02	5178.48	4981.69	3549.31	4007.34	0.42	-0.13	-0.54
Ankrd1	58178.19	14464.19	17018.3	37416.76	31422.41	-2.01	-0.64	1.37
Ankrd10	8821.84	9444.99	8854.27	9201.59	4031.47	0.1	0.06	-0.04
Ankrd13a	12857.18	19040.09	20757.31	16108.47	11846.47	0.57	0.33	-0.24
Ankrd13c	9304.12	11441.54	13752.63	8068.66	7592.86	0.3	-0.21	-0.5
Ankrd13d	20402.08	26024.84	27794.29	22597.56	19989.87	0.35	0.15	-0.2
Ankrd16	7720.83	9287.23	9029.58	8720.17	5466.23	0.27	0.18	-0.09
Ankrd17	8965.72	14543.31	18358.91	9173.21	7707.5	0.7	0.03	-0.66
Ankrd23	9669.38	13890.4	15419.6	12629.5	7083.25	0.52	0.39	-0.14
Ankrd27	3700.94	7472.23	9569.62	4597.45	2976.87	1.01	0.31	-0.7
Ankrd29	13635.53	10412.69	11757.1	12636.36	12136.79	-0.39	-0.11	0.28
Ankrd34a	27393.72	24102.47	20259.24	27399.62	24203.03	-0.18	0	0.18
Ankrd37	4256.91	5345.11	5832.45	4449.21	4808.83	0.33	0.06	-0.26
Ankrd39	10508.71	16755.93	18837.13	14211.5	8282.02	0.67	0.44	-0.24
Ankrd40	18741.59	15192.76	18564.23	18702.02	21296.01	-0.3	0	0.3
Ankrd42	16021.28	16980.98	15306.67	14642.79	11065.84	0.08	-0.13	-0.21
Ankrd44	949.34	1737.05	3151.95	1814.83	1056.21	0.87	0.93	0.06
Ankrd46	4883.14	6044.27	6541.15	6727.41	5481.66	0.31	0.46	0.15
Ankrd49	9243.13	9470.85	10057	7722.4	7489.41	0.04	-0.26	-0.29
Ankrd50	11238.75	15203.54	17839.59	11544.41	12367.77	0.44	0.04	-0.4
Ankrd52	14366.71	22737.12	23884.13	15934.1	11857.14	0.66	0.15	-0.51
Ankrd54	25934.76	37242.8	38213.71	33588.29	17716.45	0.52	0.37	-0.15
Ankrd9	4248.53	7198.27	8705.46	6477.18	4940.35	0.76	0.61	-0.15
Anks1a	7927.89	10847.09	12445.51	8781.5	6539.26	0.45	0.15	-0.3
Anks3	3145.88	4659.24	4986.84	5940.43	3348.41	0.57	0.92	0.35
Anks6	5209.15	7972.57	9578.75	8329.96	5941.54	0.61	0.68	0.06
Ankzf1	11211.48	13946.97	14729.86	13200.72	10424.01	0.31	0.24	-0.08
Ano1	29151.92	66569.46	69663.65	33509.03	49749.19	1.19	0.2	-0.99
Ano6	35928.78	36217.36	39523.35	36076.52	46210.88	0.01	0.01	-0.01
Anp32a	35344.44	44493.75	49510.69	38917.19	32047.04	0.33	0.14	-0.19
Anp32b	6259.68	12225.26	17021.88	7422.33	5931.4	0.97	0.25	-0.72
Anp32e	11833.3	12218.19	12934.75	13081.76	11730.39	0.05	0.14	0.1
Anpep	16469.84	12216.35	12968.73	23341.89	24477.43	-0.43	0.5	0.93
Antxr1	45187.8	32557.38	34510.59	41941.58	45843.39	-0.47	-0.11	0.37
Anxa1	65281.37	34830.48	42145.57	47337.92	75648.32	-0.91	-0.46	0.44
Anxa11	22566.83	26918.55	30787.25	24715.34	26212.81	0.25	0.13	-0.12
Anxa2	43344.47	59461.94	64599.48	43667.51	56652.34	0.46	0.01	-0.45
Anxa3	5474.65	5843.82	9217.07	3803.51	5375.74	0.09	-0.53	-0.62
Anxa4	11654.87	12313.17	15224.38	14682.13	25295.34	0.08	0.33	0.25
Anxa5	29064.28	44294.56	63822.38	26825.7	32358.69	0.61	-0.12	-0.72
Anxa6	19443.56	31675.33	36586.5	19401.76	21183.6	0.7	0	-0.71
Anxa7	6483.56	10311.42	12327.98	6168.61	7039.41	0.67	-0.07	-0.74
Aoc3	3534.04	2877.16	3332.31	4214.15	2279.01	-0.3	0.25	0.55
Aox1	5113.13	4363.89	4801.67	5773.32	6295.95	-0.23	0.18	0.4
Ap1ar	16944.63	13646.74	13707.71	13393.35	15362.97	-0.31	-0.34	-0.03
Ap1b1	5233.46	5887.2	5506.28	6708.93	5451.39	0.17	0.36	0.19
Ap1m1	12902.47	12966.94	14842.91	20518.48	11146.55	0.01	0.67	0.66
Ap1s1	41858.08	68171.76	81152.95	37775.3	40029.57	0.7	-0.15	-0.85
Ap1s2	3078.44	5123.24	5826.02	3230.86	3590.03	0.73	0.07	-0.67
Ap1s3	4177	5819.93	8258.01	4645.48	6179.89	0.48	0.15	-0.33
Ap2a1	8752.3	11012.53	11744.5	11680.95	7684.8	0.33	0.42	0.09
Ap2a2	11879.17	12307.08	13866.12	10801.85	7036.9	0.05	-0.14	-0.19
Ap2b1	9762.64	13525.21	15268.43	9490.15	14225.42	0.47	-0.04	-0.51
Ap2m1	8006.97	11174.49	12772.06	8531.85	6748.46	0.48	0.09	-0.39
Ap2s1	6104.12	10105.9	11767.54	6495.48	7993.65	0.73	0.09	-0.64
Ap3b1	5335.71	7857.95	8707.27	5238.75	4197.65	0.56	-0.03	-0.58
Ap3d1	11669.16	33971.91	43914.41	12791.91	13261.29	1.54	0.13	-1.41
Ap3m1	8474.34	9535.06	7886.88	9240.28	7221.77	0.17	0.12	-0.05
Ap3m2	7715.49	12769.91	12456.73	10237.63	10325.71	0.73	0.41	-0.32
Ap3s1	6437.18	9713.73	10924.34	6579.36	6613.06	0.59	0.03	-0.56
Ap4b1	11626.31	11809.37	16387.58	11141.21	15935.95	0.02	-0.06	-0.08
Ap4e1	11077.12	8339.35	8392.66	12147.86	9398.94	-0.41	0.13	0.54
Ap4m1	7507.97	8461.66	8799.2	7785.28	7934.59	0.17	0.05	-0.12
Ap4s1	18781.76	22810.29	30797.3	20284.68	23418.42	0.28	0.11	-0.17
Ap5b1	37647.38	52992.83	64727.86	42438.55	37120.03	0.49	0.17	-0.32
Ap5m1	4391.13	6961.67	8416.77	4779.65	4024.45	0.66	0.12	-0.54
Ap5s1	12803	14091.67	17097.18	12941.34	11567.15	0.14	0.02	-0.12
Ap5z1	17497.96	21008.24	22897.55	23164.69	18907.6	0.26	0.4	0.14
Apaf1	5695.27	9128.2	9122.79	6921.96	5535.58	0.68	0.28	-0.4
Apba1	18507.65	10350.78	12438.51	13067.6	12462.37	-0.84	-0.5	0.34
Apba3	10772.05	18626.3	21475.7	13199.97	10344.02	0.79	0.29	-0.5
Apbb3	23087.61	21812.23	19898.43	29755.78	31664.49	-0.08	0.37	0.45
Apeh	5524.08	9931.56	11363.54	8853.53	6749.45	0.85	0.68	-0.17
Apex1	11315.5	10172.25	8504.03	10299.37	9052.52	-0.15	-0.14	0.02
Apex2	1603.74	2027.25	1929.2	1396.28	1581.72	0.34	-0.2	-0.54
Aph1a	10940.3	12153.67	14304.07	9637.04	9806.82	0.15	-0.18	-0.33
Api5	10253.19	11386.58	12697.21	11039.53	9514.57	0.15	0.11	-0.04
Apip	3746.49	6037.31	6113.78	4352.87	3383.77	0.69	0.22	-0.47
Apitd1	6825.7	8496.76	6216.63	8334.08	7149.83	0.32	0.29	-0.03
Aplf	2011.16	2358.63	1557.74	1975.51	2175.24	0.23	-0.03	-0.26
Aplp1	2956.75	3716.98	4471.22	3577.81	3011.03	0.33	0.28	-0.06
Apoa1bp	4834.1	8123.32	9306.89	6445.54	3423.6	0.75	0.42	-0.33
Apobec3b	17924.59	13979.83	13011.19	18069.76	15431.56	-0.36	0.01	0.37
Apol9a	9623.09	8369.39	7771.01	12353.54	10525.57	-0.2	0.36	0.56
Apom	9460.3	14232.62	14060.66	13022.72	8047.15	0.59	0.46	-0.13
Apoo	511.87	771.38	1012.37	620.36	398.25	0.59	0.28	-0.31
Apool	2371.47	3423.42	4965.83	2502.44	7883.57	0.53	0.08	-0.45
App	15776.98	13309.89	14087.09	14091.85	10810.31	-0.25	-0.16	0.08
Appbp2	6016.83	9487.92	8961.15	7357.82	5878.45	0.66	0.29	-0.37
Appl2	5148.26	5482.4	6053.41	5465.14	5346.98	0.09	0.09	0
Aprt	15337.24	26415.37	32900.46	22872.51	19859.94	0.78	0.58	-0.21
Aptr	17582.37	18629.25	24054.35	21098.92	21675.13	0.08	0.26	0.18
Aptx	11790.76	8863.57	8331.34	10525.06	10037.17	-0.41	-0.16	0.25
Aqp1	7377.27	11612.93	12831.33	12524.24	8755.07	0.65	0.76	0.11
Aqp11	18621.23	15218.02	15965.09	16657.59	15970.88	-0.29	-0.16	0.13
Aqr	3872.33	6306.75	8942.68	4164.14	4392.99	0.7	0.1	-0.6
Araf	10773.02	20193.7	21515.04	9009.85	11977.55	0.91	-0.26	-1.16
Arap2	2184.59	2932.6	3689.08	2479.69	5524.48	0.42	0.18	-0.24
Arc	5050.2	9089.58	9427.48	6364.38	3254.91	0.85	0.33	-0.51
Arcn1	41182.66	62510.8	74582.14	44670.82	31320.49	0.6	0.12	-0.48
Areg	1797.03	3376.03	4680.67	1845.71	3341.29	0.91	0.04	-0.87
Arf1	7912.29	14291.92	16504.66	9660.85	6609.47	0.85	0.29	-0.56
Arf2	4013.66	7018	6234.74	4510.08	4030.97	0.81	0.17	-0.64
Arf4	10300.04	12802.15	14772.27	8534.05	10972.09	0.31	-0.27	-0.59
Arf5	8453.04	13718.73	17234.46	9565.24	7204.41	0.7	0.18	-0.52
Arf6	13990.09	24204.3	28050.61	14613.79	21002.33	0.79	0.06	-0.73
Arfgap1	33725.36	30957.17	37580.83	32199.65	26932.86	-0.12	-0.07	0.06
Arfgap2	8363.89	10996.3	10734.92	8373.13	8122.31	0.39	0	-0.39
Arfgap3	10369.3	19900.05	23360.82	19495.62	16644.85	0.94	0.91	-0.03
Arfgef1	4726.22	8296.33	11901.04	4896.98	4314.39	0.81	0.05	-0.76
Arfgef2	5435.55	8322.93	9135.23	6170.03	5162.7	0.61	0.18	-0.43
Arfip1	11424.22	11674.89	11574.98	8931.72	11005	0.03	-0.36	-0.39
Arfip2	8148.75	13064.39	14787.45	8564.31	8339.7	0.68	0.07	-0.61
Arfrp1	5135.15	8762.86	11205.34	5147.79	4699.87	0.77	0	-0.77
Arg1	10628.94	5098.15	5369.93	7613.04	6694.89	-1.06	-0.48	0.58
Arglu1	17605.35	19037.31	22725.91	16842.98	15105.52	0.11	-0.06	-0.18
Arhgap1	10796.01	11672.91	12449.1	8699.69	9543.31	0.11	-0.31	-0.42
Arhgap10	14843.37	27642.16	40125.57	19032.51	26559.22	0.9	0.36	-0.54
Arhgap11a	7994.56	7745.04	6892.99	7792.84	6479.41	-0.05	-0.04	0.01
Arhgap12	4351.24	4326.68	4854.06	4429.92	3988.57	-0.01	0.03	0.03
Arhgap17	30002.92	24637.07	27738.73	28967.14	27847.45	-0.28	-0.05	0.23
Arhgap18	1083.04	1428.02	1597.18	1816.93	1418.17	0.4	0.75	0.35
Arhgap21	24577.89	21004.44	28125.35	21294.1	20212.07	-0.23	-0.21	0.02
Arhgap22	10666.03	11096.03	12000.99	10366.38	7003.95	0.06	-0.04	-0.1
Arhgap24	2148.01	2014.75	1819.31	2329.08	1684.96	-0.09	0.12	0.21
Arhgap29	8295.88	7580.27	9512.14	8796.16	10103.23	-0.13	0.08	0.21
Arhgap31	6014.08	9460.72	11268.5	7279.48	6140.82	0.65	0.28	-0.38
Arhgap35	26031.01	31920.81	41285.1	25742.16	31649.05	0.29	-0.02	-0.31
Arhgap39	3549.53	4588.74	5327.07	3524.17	4496.05	0.37	-0.01	-0.38
Arhgdia	28358.74	45232.49	49804.23	39598.06	32752.1	0.67	0.48	-0.19
Arhgef1	7817.02	10445.73	10534.19	7773.21	5888.06	0.42	-0.01	-0.43
Arhgef11	3542.49	3594.9	3023.01	3775.94	2788.09	0.02	0.09	0.07
Arhgef12	10118.83	11922.77	11906.02	12073.74	12118.79	0.24	0.25	0.02
Arhgef2	44065.6	52996.73	65141.35	55714.6	52317.82	0.27	0.34	0.07
Arhgef25	10848.74	13635.81	14046.03	14026.75	9499.89	0.33	0.37	0.04
Arhgef3	3628.04	7921.61	9755.31	3941.57	6201.58	1.13	0.12	-1.01
Arhgef39	38919.11	34576.93	35817.32	35050.33	25219.42	-0.17	-0.15	0.02
Arhgef40	17853.51	26387.59	29432.13	20973.03	16319.96	0.56	0.23	-0.33
Arhgef6	11081.79	9130.33	10431.93	8327.52	9702.4	-0.28	-0.41	-0.13
Arhgef7	6203.07	10873.99	10847.16	7985.13	6184.62	0.81	0.36	-0.45
Arid4a	12341.19	16634.52	16601.66	12432.75	9108.56	0.43	0.01	-0.42
Arid5b	25255.41	17454.85	19255.32	20752.31	31110.34	-0.53	-0.28	0.25
Arih1	9487.41	13162.57	11962.46	9826.6	7772	0.47	0.05	-0.42
Arih2	10712.9	17561.25	20321.51	12712.92	13830.8	0.71	0.25	-0.47
Arl1	4870.39	6608.08	8147.8	5027.11	3917.59	0.44	0.05	-0.39
Arl10	6042.53	10132.53	10696.78	7170.03	5108.99	0.75	0.25	-0.5
Arl13b	1309.84	2049.79	1911.97	1007.76	1293.93	0.65	-0.38	-1.02
Arl14ep	4617.71	5389.46	6502.71	4198.89	5975.6	0.22	-0.14	-0.36
Arl2	14600.5	20503.64	23014.44	18508.85	14108.16	0.49	0.34	-0.15
Arl2bp	15249.86	16231.5	18401.55	17162.58	12422.93	0.09	0.17	0.08
Arl4a	7196.28	8318.59	10081.53	5844.54	5951.31	0.21	-0.3	-0.51
Arl4c	11972.12	24740.79	24225.43	17524.88	15241.53	1.05	0.55	-0.5
Arl4d	17647.05	23904.52	23702.18	20037.89	15248.43	0.44	0.18	-0.25
Arl5a	4280.87	5894.43	7390.05	4644.1	3632.75	0.46	0.12	-0.34
Arl5b	3422.81	5161.12	5251.53	2950.54	3052.81	0.59	-0.21	-0.81
Arl6	3809.4	6119.14	6803.63	3811.98	3567.58	0.68	0	-0.68
Arl6ip1	12436.35	9296.9	8908.42	9688.21	7377.73	-0.42	-0.36	0.06
Arl6ip4	7455.9	14923.86	22574.45	13422.49	8758.03	1	0.85	-0.15
Arl6ip5	10261.02	11600.62	14703.83	8917.7	12541.33	0.18	-0.2	-0.38
Arl6ip6	4947.63	7329.52	7900.53	4636.56	3760.84	0.57	-0.09	-0.66
Arl8a	7359.54	10653.29	12911.33	11468.08	7508.49	0.53	0.64	0.11
Arl8b	5981.29	10530.92	12587.57	6931.02	7800.36	0.82	0.21	-0.6
Armc1	7282.5	10651.93	9284.53	6255.21	6139.5	0.55	-0.22	-0.77
Armc10	3731.04	4821.31	5213.43	4970.6	3867.09	0.37	0.41	0.04
Armc5	16818.03	23349.82	26398.17	19951.67	15298.87	0.47	0.25	-0.23
Armc6	11022.14	17065.34	19570.88	12783.12	9248.46	0.63	0.21	-0.42
Armc7	16927.86	16531.97	17800.34	25837.17	22514.37	-0.03	0.61	0.64
Armc8	5272.75	7528.73	8536.5	4832.15	4793.66	0.51	-0.13	-0.64
Armc9	28880.89	13678.5	14025.41	30101.46	26622.06	-1.08	0.06	1.14
Armcx2	2173.62	1706.36	1953.4	2593.44	2559.37	-0.35	0.25	0.6
Armcx3	2694.72	2922.88	2856.71	3013.99	2731.59	0.12	0.16	0.04
Armt1	15628.13	14878	15884.4	17544.33	16338.82	-0.07	0.17	0.24
Arnt	9657.42	12384.21	13386.82	11771.57	14140.65	0.36	0.29	-0.07
Arnt2	8582.84	7998.01	8664.37	9014.48	8513.44	-0.1	0.07	0.17
Arntl	29120.14	44220.14	40246.33	36449.3	45842.84	0.6	0.32	-0.28
Arpc1a	13858.02	14214.35	16561.04	19101.9	14952.42	0.04	0.46	0.43
Arpc1b	16527.16	19532.82	21064.99	22571.53	16036.95	0.24	0.45	0.21
Arpc2	24950.43	26042.62	33158.98	21161.13	27121.87	0.06	-0.24	-0.3
Arpc3	14623.6	17013.69	18975.01	15962	16025.69	0.22	0.13	-0.09
Arpc4	16433.24	19549.94	23553.4	18189.51	17110.79	0.25	0.15	-0.1
Arpc5	4545.73	7488.49	9007.36	4627.9	3780.67	0.72	0.03	-0.69
Arpc5l	10049.96	14157.57	15058.06	11487.66	9800.34	0.49	0.19	-0.3
Arpin	6749.31	8049.72	8516.3	7947.36	12043.15	0.25	0.24	-0.02
Arpp19	5821.85	11616.24	11166.86	7350.64	7095.29	1	0.34	-0.66
Arrb1	962.56	2186.77	2472.83	2500.89	1795.97	1.18	1.38	0.19
Arrb2	2982.13	3570.73	3409.92	2842.87	2652.41	0.26	-0.07	-0.33
Arrdc1	5899.2	8306.98	7699.87	5705.54	5150.38	0.49	-0.05	-0.54
Arrdc2	16530.7	21500.35	23519.32	24895.32	12469.78	0.38	0.59	0.21
Arrdc3	13533.86	16475.41	20253.76	13309.88	20508.56	0.28	-0.02	-0.31
Arsa	3891.41	5332.88	6739.67	5335.68	3634.27	0.45	0.46	0
Arsb	2289.51	7463.65	8038.31	3902.49	5555.04	1.7	0.77	-0.94
Arse	5563.97	9885.47	11525.92	6329.99	4582.22	0.83	0.19	-0.64
Arsi	143241.92	77967.71	54499.82	115908.46	66849.07	-0.88	-0.31	0.57
Arsj	6400.06	13685.58	18970.3	8356.73	12352.15	1.1	0.38	-0.71
Arsk	5139.55	4839.56	5254.38	3834.1	4485.06	-0.09	-0.42	-0.34
Arv1	3586.06	6651.94	7197.87	4141.24	3200.3	0.89	0.21	-0.68
Arvcf	11063.26	14250.46	16994.13	13952.55	12117.3	0.37	0.33	-0.03
As3mt	9230.97	11057.8	13451.29	9392.48	10862.66	0.26	0.03	-0.24
Asah1	3362.7	4034.71	3284.23	3613.89	2982.33	0.26	0.1	-0.16
Asap1	26993.33	29438.18	40662.12	28008.21	28605.77	0.13	0.05	-0.07
Asb1	5908.68	7654.04	9074.58	7217.09	4618.4	0.37	0.29	-0.08
Asb13	44003.25	28640.51	24916.68	39758.63	51219.38	-0.62	-0.15	0.47
Asb3	6291.6	7423.86	8413.69	5220.51	4866.38	0.24	-0.27	-0.51
Asb6	30936.2	32690.13	34529.51	46470.65	33033.39	0.08	0.59	0.51
Asb7	10946.16	12002.24	11830.46	9423.21	9518.87	0.13	-0.22	-0.35
Asb8	11567.16	13841.6	18346.18	12937.79	11067.9	0.26	0.16	-0.1
Ascc1	11319.13	12927.74	11648.59	14483.62	12914.23	0.19	0.36	0.16
Ascc2	13096.19	14838.42	15921.22	18529.86	16939.84	0.18	0.5	0.32
Ascc3	5126.7	5946.84	6169.83	2983.5	3258.36	0.21	-0.78	-1
Ascl2	32872.51	25726.27	24597.98	35748.98	25600.86	-0.35	0.12	0.47
Asf1a	8336.66	10649.45	9615.34	8228.55	5728.36	0.35	-0.02	-0.37
Asf1b	10395.51	12737.89	12436.47	15815.02	9144.22	0.29	0.61	0.31
Ash1l	9260.22	12138.95	16878.93	9478.37	7162.07	0.39	0.03	-0.36
Ash2l	4270.83	5562.83	6963.6	5388.89	5656.7	0.38	0.34	-0.05
Asl	10763.74	9339.07	11306.74	14947.13	10125.6	-0.2	0.47	0.68
Asmtl	5019.56	9462.85	12611.92	6951.44	4944.55	0.91	0.47	-0.44
Asna1	55966.72	73120.3	76968.78	59880.43	40031.63	0.39	0.1	-0.29
Asns	623.74	969.2	1475.3	672.2	825.6	0.64	0.11	-0.53
Asnsd1	2292.98	3226.33	3525.31	1903.86	2201.4	0.49	-0.27	-0.76
Aspa	3562.89	1675.27	1723.17	2535.03	2132.29	-1.09	-0.49	0.6
Aspm	3729.3	2848.18	2565.04	3222.76	2425.4	-0.39	-0.21	0.18
Asrgl1	37778.49	31298.73	44053.39	37012	46475.03	-0.27	-0.03	0.24
Aste1	1104.6	1462.87	1521.18	1021.72	684.6	0.41	-0.11	-0.52
Asun	6417.42	11523.7	12049.85	6509.2	4154.01	0.84	0.02	-0.82
Atad1	20030.36	24322.37	22745.65	19975.45	15401.44	0.28	0	-0.28
Atad2	3634.64	3275.75	3004.94	4079.91	2882.08	-0.15	0.17	0.32
Atad2b	8414.18	10855.65	11276.9	9034.89	6582.63	0.37	0.1	-0.26
Atad3a	11649.05	19677.97	20837.86	14015.41	10557.38	0.76	0.27	-0.49
Atat1	15635.28	20280.87	22389.88	17488.24	19236.71	0.38	0.16	-0.21
Atcay	8755.26	13970.43	14691.48	11353.05	8333.09	0.67	0.37	-0.3
Ate1	11390.58	12955.52	13531.57	9896.73	9327.36	0.19	-0.2	-0.39
Atf1	6811.79	9606.64	11441.3	9114.23	10050.42	0.5	0.42	-0.08
Atf2	5063.96	6924.24	7925.32	5405.48	4562.02	0.45	0.09	-0.36
Atf3	398.67	1331.02	1589.04	518.29	433.55	1.74	0.38	-1.36
Atf4	15050.32	32554.37	31922.1	18322.74	14568.78	1.11	0.28	-0.83
Atf5	13413.87	17348.24	20737.37	14128.23	14330.8	0.37	0.07	-0.3
Atf6	9758.48	13234.09	15164.19	7903.68	18316.95	0.44	-0.3	-0.74
Atf6b	8777.95	12299.96	16498.13	10383.2	8004.97	0.49	0.24	-0.24
Atf7	14144.04	14752.51	13760.25	17615.18	14416.65	0.06	0.32	0.26
Atg10	9313.38	8681.59	10632.07	8423.93	7464.46	-0.1	-0.14	-0.04
Atg101	29026.08	42872.51	52678.99	33654.99	38167.36	0.56	0.21	-0.35
Atg12	6615.62	9967.42	11022.3	6797.78	6782.4	0.59	0.04	-0.55
Atg13	11506.68	7371.48	6982.66	7001.45	7729.56	-0.64	-0.72	-0.07
Atg14	3858	1945.74	1997.79	2607.62	2786	-0.99	-0.57	0.42
Atg16l1	8155.33	12475.03	12479.2	9681.15	8364.02	0.61	0.25	-0.37
Atg16l2	9730.38	12358.42	15447.06	16547.72	11510.62	0.34	0.77	0.42
Atg2a	13660.52	12918.16	9776.58	18186.32	10050.72	-0.08	0.41	0.49
Atg3	19688.94	13108.98	13903.58	14344.98	20696.8	-0.59	-0.46	0.13
Atg4c	12057.24	9112.23	9738	13073.29	15275.62	-0.4	0.12	0.52
Atg4d	4023.47	7323.69	8365.24	5609.89	4535.44	0.86	0.48	-0.38
Atg5	3617.96	4957.85	5370.43	3523.26	2438.77	0.45	-0.04	-0.49
Atg9a	11270.26	14017.23	14808.83	13244.53	10519.28	0.31	0.23	-0.08
Atic	4183.85	6919.61	8436.3	4316.17	4181.12	0.73	0.04	-0.68
Atl1	14539.71	16219.24	22949.67	12026.13	13692.56	0.16	-0.27	-0.43
Atl2	2400.68	4508.09	5056.87	2629.07	2022.16	0.91	0.13	-0.78
Atl3	27642.87	26144.58	26716.93	26784.71	29205.4	-0.08	-0.05	0.03
Atm	4631.92	4690.1	4526.42	3718.32	3274.74	0.02	-0.32	-0.33
Atmin	5340.84	6659.24	8542.47	7017.84	6510.12	0.32	0.39	0.08
Atn1	13354.73	18184.58	19154.25	17563.37	14764.8	0.45	0.4	-0.05
Atoh8	10484.9	5960.74	6730.51	16582.51	5467.56	-0.81	0.66	1.48
Atox1	69803.5	70087.16	74058.31	65218.1	65425.03	0.01	-0.1	-0.1
Atp10a	13242.77	10473.27	12104.1	11175.19	11610.65	-0.34	-0.24	0.09
Atp11a	4672.44	9954.23	13416.77	6347.83	7892.59	1.09	0.44	-0.65
Atp13a1	10505.44	14068.19	14991	11527.74	8083.63	0.42	0.13	-0.29
Atp13a2	1467.94	2191.74	2370.22	1757.43	1370.31	0.58	0.26	-0.32
Atp13a3	6752.67	7301.32	9711.67	6373.18	4816.31	0.11	-0.08	-0.2
Atp1a1	8503.1	16436.66	16880.93	12284.75	9685.31	0.95	0.53	-0.42
Atp1b1	10698.17	10657.94	11392.88	14065.66	10343.9	-0.01	0.39	0.4
Atp1b2	4241.92	4392.73	4028.18	4524.5	5142.86	0.05	0.09	0.04
Atp1b3	15716.15	21746.52	23116.11	18935.4	28204.07	0.47	0.27	-0.2
Atp2a2	15789.32	27240.79	32718.72	25876.41	21907.55	0.79	0.71	-0.07
Atp2b1	5807.08	13923.97	20533.35	7463.91	5221.16	1.26	0.36	-0.9
Atp2c1	4968.58	9299.05	12675.09	5548.88	5530.68	0.9	0.16	-0.74
Atp5a1	4221.44	6373.64	6516.93	4870.82	4327.08	0.59	0.21	-0.39
Atp5b	18098.4	22664.7	20982.97	19098.66	15586.83	0.32	0.08	-0.25
Atp5c1	11523.35	9538.86	11142.82	10514.48	8138.34	-0.27	-0.13	0.14
Atp5d	72625.6	106937.58	106063.83	94619.07	64587.66	0.56	0.38	-0.18
Atp5e	6140.64	8737.03	13460.68	6307.54	6234.59	0.51	0.04	-0.47
Atp5g1	6574.78	7831.43	6478.96	5524.77	5451.51	0.25	-0.25	-0.5
