NM_001025696	Yars
NM_001009967	Pip5k1c
NM_001109246	Exoc6b
NM_019370	Enpp3
NM_130412	Sdf4
NM_001105750	Stim2
NM_053458	Rab9a
NM_031026	Dync1li2
NM_031788	Rest
NM_019140	Ptprs
NM_001163273	Cmip
NM_001270415	Parn
NM_001107120	Daglb
NM_001033968	Bag6
NM_001106999	RGD1310352
NM_171995	Ddb1
NM_001039849	Gpx4
NM_001107059	Ddx42
NM_031685	Gosr2
NM_001135158	Myh1
NM_001014128	Rsrc2
NM_001191567	Golim4
NM_001034105	Tnnc1
NM_012618	S100a4
NM_001014036	Larp1b
NM_001013871	Tmem183a
NM_001034919	RGD1562218
NM_001135582	Zmat2
NM_001012192	Tssc1
NM_001107697	Otud7b
NM_001106749	RGD1310769
NM_001126275	Ccm2
NM_001106182	Cog8
NM_031017	Creb1
NM_021754	Nop58
NM_022595	Pdap1
NM_173340	Rpl13a
NM_001270939	Gps1
NM_001170438	Nfxl1
NM_001271170	Scaf11
NM_012891	Acadvl
NM_001014110	Prickle3
NM_133419	Dkc1
NM_001017375	Mphosph8
NM_001130563	Mtss1
NM_001012063	Sae1
NM_001025732	Nop56
NM_001106901	Cnnm3
NR_110645	LOC100363521
NM_001012093	Zfp64
NM_001107231	Patz1
NM_001107996	Klhl21
NM_020082	Rnase4
NM_001127546	Kdelr3
NM_031118	Soat1
NM_001008291	Tfip11
NM_001013858	Tlcd1
NM_001172089	Gemin5
NM_001034933	Arsa
NM_001024749	RGD1305713
NM_012519	Camk2d
NM_199096	Necap2
NM_001305419	Pibf1
NM_001271362	Scube3
NM_001106673	Gpx7
NM_053643	Cds2
NM_001009474	Pir
NM_001006969	Irf3
NM_001198796	Ccpg1os
NM_001134781	Ankib1
NM_022279	Mre11a
NM_001004094	Psma3l
NM_001047099	Ythdf2
NM_001106933	Ap3s1
NM_022860	B4galnt1
NM_024127	Gadd45a
NM_181628	Tsg101
NM_001001511	Gcnt2
NM_001014186	Orc5
NM_001109148	Mrps11
NM_001106503	Stard7
NM_001077645	Prkacb
NM_145184	Usp15
NM_001025142	Trim35
NM_001106876	Mllt1
NM_001135749	Cks1b
NM_001037977	Ap4m1
NM_001109668	Tollip
NM_001004230	Edem2
NM_183325	Adprh
NM_001010948	Slc10a7
NM_019283	Slc3a2
NM_001033701	Zeb2
NM_001037195	Rhog
NM_001037183	Mrpl47
NM_031122	St13
NM_001105724	Rasa2
NM_001008298	Stard3nl
NM_001127527	Yeats4
NM_001126272	Zfp692
